NOMS	le lycée	中学（一般指高中）
NOMS	le sport	体育运动
NOMS	une histoire	故事
NOMS	le chien	狗
NOMS	le soleil	太阳，阳光
NOMS	un oiseau	鸟
NOMS	un arbre	树
NOMS	le bois	树林
NOMS	la pluie	雨
NOMS	le parapluie	雨伞
NOMS	le signe	示意动作
NOMS	conducteur, trice	驾车者
NOMS	premier, ère	第一个
NOMS	la dame	妇女
NOMS	un animal	动物
NOMS	des animaux	动物们
NOMS	le coffre	（汽车）行李箱
NOMS	la portière	车门
NOMS	la lettre	字母
NOMS	une société	公司，协会
NOMS	l'homme n. m.	人，人类
VERBES	mener v. t.	进行，度日
VERBES	se promener	散步
VERBES	briller v. i.	闪耀
VERBES	chanter v. i. ou v. t.	歌唱
VERBES	marcher v. i.	行走，步行
VERBES	se mettre à	开始
VERBES	tomber v. i.	落，降
VERBES	s'arrêter	停，停车
VERBES	sauter v. i.	跳
VERBES	regretter v. t.	惋惜
VERBES	monter v. i.	登上，上车
VERBES	passer avant	在……之前
ADJECTIFS	jeune	年轻的
ADJECTIFS	drôle	奇特的
ADJECTIFS	triste	伤心的
ADJECTIFS	mouillé, e	淋湿的，湿的
ADJECTIFS	désolé, e	遗憾的
ADJECTIFS	furieux, se	恼怒的
ADJECTIFS	protecteur, trice	保护的
AUTRES	autrefois adv.	从前，以前
AUTRES	soudain adv.	突然
AUTRES	comme conj.	由于，因为
AUTRES	trop adv.	太，很，非常
